OBJECTID,GIS_ID,NAME,ALPHA_CODE,PARK_CODE,LOCATION,AQUIRED,TRANS_DC,SOURCE,RESERVE,LABEL,Shape_Length,Shape_Area,SQUARE,SUFFIX,LOT,SSL,PAR
1,Nps_060,Fort Circle Park,ROCR,832,"Fort Reno Park To Rock Creek Park , NW",6,,NPS,515,Fort Circle Park,3450.23047492012,114066.748272879,MULTI-SQUARES,,0000,RES 05150000,
2,Nps_087,Fort Circle Park,ROCR,832,"Fort Totten Park To Barnard Hill, NE","6, 8",,NPS,451,Fort Circle Park,856.712577276605,19801.0209228915,0000,,0000,RES 04510000,
3,Nps_081,Fort Circle Park,ROCR,832,"Fort Totten Park To Barnard Hill, NE","6, 8",,NPS,451,Fort Circle Park,952.759982412839,6071.46956271813,0000,,0000,RES 04510000,
4,Nps_061,Fort Circle Park,ROCR,832,"Fort Totten Park To Barnard Hill, NE","6, 8",,NPS,451,Fort Circle Park,1154.49307427285,39763.5878830868,0000,,0000,RES 04510000,
5,Nps_543,Fort Circle Park,ROCR,832,"Fort Totten Park To Barnard Hill, NE","6, 8",,NPS,451,Fort Circle Park,2600.06314286191,73493.17116267,0000,,0000,RES 04510000,
6,Nps_058,Fort Circle Park,ROCR,832,"Fort Totten Park To Barnard Hill, NE","6, 8",,NPS,451,Fort Circle Park,1455.08664614403,60630.0523660797,0000,,0000,RES 04510000,
7,Nps_504,Fort Circle Park,ROCR,832,"Fort Totten Park To Barnard Hill, NE","6, 8",,NPS,451,Fort Circle Park,1262.75403561992,67317.6997410161,0000,,0000,RES 04510000,
8,Nps_094,Fort Circle Park,ROCR,832,"American University Park To Fort Reno Park, NW","6, 8",,NPS,542,Fort Circle Park,558.380428108974,3268.65612012796,"1599,1768,1772,1778,1779",,0000,RES 05420000,
9,Nps_074,Fort Circle Park,ROCR,832,"American University Park To Fort Reno Park, NW","6, 8",,NPS,542,Fort Circle Park,470.144077604621,2912.44284765894,"1599,1768,1772,1778,1779",,0000,RES 05420000,
10,Nps_070,Fort Circle Park,ROCR,832,"American University Park To Fort Reno Park, NW","6, 8",,NPS,542,Fort Circle Park,261.082201617073,1512.7755469831,"1599,1768,1772,1778,1779",,0000,RES 05420000,
11,Nps_181,Archbold Parkway,ROCR,836,Macarthur Boulevard & 44th St. NW,"5, 6, 7, 8, 9",,NPS,450,Archbold Parkway,1945.84067281396,126397.995214877,,,,RES 04500000,
12,Nps_156,Archbold Parkway,ROCR,836,"West Side Glover Archbold Parkway, Between U st. & Reservoir","6, 7, 8, 10",,NPS,450A,Archbold Parkway,1466.03172693916,70611.2477429538,,,,RES 0450A000,
13,Nps_157,Archbold Parkway,ROCR,836,"East Side Glover Archbold Parkway, Between U st. & Reservoir Rd.","7, 8, 10",,NPS,450B,Archbold Parkway,1467.98205856641,73617.1270836638,,,,RES 0450B000,
14,Nps_064,Fort Circle Park,ROCR,832,"American University Park To Fort Reno Park, NW","6, 8",,NPS,542,Fort Circle Park,665.788937217115,6080.93135378706,"1599,1768,1772,1778,1779",,0000,RES 05420000,
15,Nps_092,Rock Creek Park & Piney Branch Parkway,ROCR,821,"Klingle Rd. To DC Line, West Of 16th St., NW","5,6,7,8",,NPS,339,Rock Creek Park & Piney Branch Parkway,884.255928847576,35501.3292629617,0000,,0000,RES 03390000,
16,Nps_113,Fort Circle Park,ROCR,832,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,666.014246968439,15766.8360684605,4303,,0000,RES 05200000,
17,Nps_123,Fort Circle Park,ROCR,832,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,557.739828570966,10131.7011522489,4303,,0000,RES 05200000,
18,Nps_098,Fort Circle Park,ROCR,832,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,256.382808042638,2648.32876010735,4303,,0000,RES 05200000,
19,Nps_112,Fort Circle Park,ROCR,832,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,176.793945143258,1757.54651484,4303,,0000,RES 05200000,
20,Nps_102,Fort Circle Park,ROCR,832,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,169.167718872655,1726.16684648348,4303,,0000,RES 05200000,
21,Nps_106,Fort Circle Park,ROCR,832,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,156.250947990257,1357.23759497567,4303,,0000,RES 05200000,
22,Nps_101,Fort Circle Park,ROCR,832,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,145.307941565462,1268.23842171872,4303,,0000,RES 05200000,
23,Nps_104,Fort Circle Park,ROCR,832,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,208.590041644716,1132.40499025891,4303,,0000,RES 05200000,
24,Nps_111,Fort Circle Park,ROCR,832,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,114.518839661288,562.525695527692,4303,,0000,RES 05200000,
25,Nps_099,Fort Circle Park,ROCR,832,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,85.3436377604593,371.610408578095,4303,,0000,RES 05200000,
26,Nps_284,Thompson's Boat House,CHOH,844,End Of Rock Creek and Potomac Parkway To Potomac River, ,,NPS,360,Thompson's Boat House,523.52828587713,8634.29790228307,0000,,0000,RES 04040000,
27,Nps_263,Chesapeake & Ohio Canal National Historical Park,CHOH,412,From Rock Creek and Potomac Parkway Along Potomac River To DC Line,4,,NPS,404,Chesapeake & Ohio Canal National Historical Park,1670.05157790227,32168.992896228,0000,,0000,RES 04040000,
28,Nps_260,Chesapeake & Ohio Canal National Historical Park,CHOH,412,From Rock Creek and Potomac Parkway Along Potomac River To DC Line,4,,NPS,404,,164.731328223622,1634.22905253142,0000,,0000,RES 04040000,
29,Nps_256,Chesapeake & Ohio Canal National Historical Park,CHOH,412,From Rock Creek and Potomac Parkway Along Potomac River To DC Line,4,,NPS,404,,197.054078550314,1803.299065382,0000,,0000,RES 04040000,
30,Nps_231,Triangle,NACC,876,"New York Ave., Between 1st & M Sts., NW",1,,NPS,181,,211.535581390727,1911.10990187483,0000,,0000,RES 01810000,
31,Nps_239,Triangle,NACC,876,"New York Ave., Between 1st & M Sts., NW",1,,NPS,181,,48.221302243047,62.4792550801147,0000,,0000,RES 01810000,
32,Nps_222,Triangle,NACC,876,"New York Ave. & N St., West Of North Capitol St. NW",1,,NPS,182,,37.049534294841,47.1130435081238,0000,,0000,RES 01820000,
33,Nps_224,Triangle,NACC,876,"New York Ave. & N St., West Of North Capitol St. NW",1,,NPS,182,,21.7284806239122,31.865017688894,0000,,0000,RES 01820000,
34,Nps_219,Triangle,NACC,876,"New York Ave., Between North Capitol St. & N st.,",1,,NPS,183,,28.5603820314363,34.9366040875156,0000,,0000,RES 01830000,
35,Nps_216,Triangle,NACC,876,"New York Ave., Between North Capitol St. & N St.,",1,,NPS,183,,25.4037837727147,43.2523933066829,0000,,0000,RES 01830000,
36,Nps_199,Potomac Palisades Parkway,ROCR,847,"Key Bridge To DC Line, NW","5, 6, 7, 8, 9",,NPS,404,,438.115961014869,10399.6983050214,1361,,0805,1361    0805,
37,Nps_169,Triangle,NACC,876,"Vermont Ave., Between 10th & T Sts., NW",1,,NPS,169,,44.247855056721,109.215489882443,0000,,0000,RES 01690000,
38,Nps_168,Triangle,NACC,876,"Vermont Ave., Between 10th & T Sts., NW",1,,NPS,169,,65.7927519623343,176.65705417027,0000,,0000,RES 01690000,
39,Nps_162,Triangle,NACC,876,"Vermont Ave., Between 10th & U Sts., NW",1,,NPS,170,,139.269023711489,1146.45535889943,0000,,0000,RES 01700000,
40,Nps_164,Triangle,NACC,876,"Vermont Ave., Between 10th & U Sts., NW",1,,NPS,170,,94.7402582640228,320.982423791662,0000,,0000,RES 01700000,
41,Nps_150,Center Parking,ROCR,878,"Connecticut Ave. & Belmont Rd., NW",8,,NPS,303A &,,121.020213269804,882.660245159256,0000,,0000,RES 303A0000,
42,Nps_146,Potomac Palisades Parkway,ROCR,847,"Key Bridge To DC Line, NW","5, 6, 7, 8, 9",,NPS,404,,638.670226019083,11644.953346823,1388,E,0805,1388E   0805,
43,Nps_144,Normanstone Parkway,ROCR,857,"Massachusetts Ave., Between Garfield & Normanstone Dr., NW","6, 8",,NPS,514,Normanstone Parkway,627.475034121544,6568.24072340696,0000,,0000,RES 05140000,
44,Nps_139,"6, 8",ROCR,857,"Massachusetts Ave., Between Garfield & Normanstone Dr., NW","6, 8",,NPS,514,,2253.82401900112,99458.2018007825,,,,RES 05140000,
45,Nps_539, , ,0, , ,,NPS, ,,1258.30308153977,58581.1452111801,0000,,0000,RES 04210000,
46,Nps_134,Glover Parkway & Children's Playground,ROCR,836,"44th & U Sts., NW","6, 7, 8, 10",,NPS,351,Glover Parkway & Children's Playground,2769.8785034607,247811.173611284,,,,RES 03510000,
47,Nps_136,Glover Parkway & Children's Playground,ROCR,836,"42nd & U Sts., NW","6, 7, 8, 10",,NPS,351A,Glover Parkway & Children's Playground,2417.4351321205,128838.715907113,,,,RES 0351A000,
48,Nps_037,Fort Circle Park,ROCR,832,"Fort Stevens Park To Fort Slocum Park, NW","6, 8",,NPS,494,Fort Circle Park,84.9861830473818,274.802863786238,MULTI-SQUARES & PARCELS,,0000,RES 04940000,
49,Nps_383,Fort Chaplin Park,NACE,881,"South Of East Capitol St., Between Chaplin St. & T St.",6,,NPS,609,Fort Chaplin Park,1528.77932474183,118023.521426009,"5404,5406",,0000,RES 06090000,
50,Nps_407,Fort Circle Park,NACE,832,"Fort Mahan Park To Fort Dupont Park, SE",6,,NPS,500,Fort Circle Park,137.974440896084,866.89102320178,5397,,0800,5397    0800,
51,Nps_367,Triangle,NACE,893,"42nd & Blaine St., NE",10,,NPS,718A,,117.630502130972,536.684690537904,5086,,0000,RES 718A0000,
52,Nps_370,Triangle,NACE,893,"Benning Rd. & Blaine St., NE", 10,,NPS,718,,75.2976275225156,210.91710184059,5086,,0000,RES 07180000,
53,Nps_472,Fort Circle Park,NACE,832,"Fort Dupont To Fort Stanton Park, SE","6, 8",,NPS,518,Fort Circle Park,2839.89436289753,198717.834059492,0000,,0000,RES 404M0000,
54,Nps_466,Triangle,NACE,892,"Pennsylvania Ave., Between O & 28th Sts., SE",8,,NPS,336A,,225.327608547278,1873.43172406263,5551,,0000,RES 336A0000,
55,Nps_476,Triangle,NACE,878,"Water St., Between Half & T Sts., SW",1,,NPS,296,,194.549791433195,1145.06392779765,0000,,0000,RES 02960000,
56,Nps_449,Triangle,NACE,875,"Virgina Ave., Between West Side Of 7th & K sts., SE",1,,NPS,124,,219.747107099164,988.71654575701,0000,,0000,RES 01240000,
57,Nps_438,Triangle,NACE,875,"Virginia Ave., & I St. To 4th & 5th Sts., SE",1,,NPS,122,,92.2091499066421,487.845578696976,0000,,0000,RES 01220000,
58,Nps_416,Marion Park,NACE,823,"E st., Between 4th & 6th Sts., SE",1,,NPS,018,Marion Park,406.778015755117,6167.90189971291,0821,S,0000,RES 00180000,
59,Nps_110,Glover Parkway & Children's Playground,ROCR,836,"Massachusetts & Cathedral Aves., NW","6, 7",,NPS,351I,Glover Parkway & Children's Playground,1321.68882305313,41403.5050548278,,,,RES 0351I000,
60,Nps_380, , ,0, , ,,NPS,DELETE,,813.390930639072,46951.1674626736,1128,,0804,1128    0804,
61,Nps_308,Fort Mahan Park,NACE,885,"Benning Rd., Between 42nd & Grant Sts., NE","5, 6",,NPS,475,Fort Mahan Park,1833.17628668971,143443.112259278,"5078,5079,5080,5081,5082,5087",,0000,RES 04750000,
62,Nps_243,Triangle,NACE,893,"M St. & Maryland Ave., NE",6,,NPS,695,,213.45838104702,1754.23612675175,4465,,0000,RES 06950000,
63,Nps_312,Triangle,NACE,877,"Maryland Ave., & F st. East Of 12th St.,, NE",1,,NPS,211,,84.5427222354131,279.344468673019,0000,,0000,RES 02110000,
64,Nps_317,Triangle,NACE,877,"Maryland Ave., Between 11th & F Sts., NE",1,,NPS,210,,136.283666116134,714.841394172474,0000,,0000,RES 02100000,
65,Nps_114,Glover Parkway & Children's Playground,ROCR,836,"Massachusetts Ave., NW","7, 10",,NPS,351H,Glover Parkway & Children's Playground,799.154011629384,22868.0189315216,,,,RES 0351H000,
66,Nps_089,Glover Parkway & Children's Playground,ROCR,836,"North Of Massachusetts Ave., NW","6, 7",,NPS,351J,Glover Parkway & Children's Playground,2660.87026652083,90882.6375905956,,,,RES 0351J000,
67,Nps_086,Glover Parkway & Children's Playground,ROCR,836,"North Of Massachusetts Ave., West Of 39th St., NW","6, 7, 10",,NPS,351K,Glover Parkway & Children's Playground,2904.73070551151,68132.1841610719,,,,RES 0351K000,
68,Nps_264,Triangle,NACE,878,"Florida Ave., Between 9th & West Virginia Ave. , NE",1,,NPS,281,,70.5801121765057,175.568288641031,0000,,0000,RES 02810000,
69,Nps_237,Triangle,NACE,878,"Florida Ave., Between M & East Of 6th Sts., NE",1,,NPS,280,,34.6873375908658,49.0473104386991,0280,,0000,RES 02800000,
70,Nps_323,Triangle,NACE,877,"Maryland Ave., Between 10th & E Sts., NE",1,,NPS,209,,97.4275797474724,292.838691363666,0000,,0000,RES 02090000,
71,Nps_326,Triangle,NACE,877,"Maryland Ave., Between 9th & E Sts., NE",1,,NPS,208,,71.2251873229506,231.1769924986,0000,,0000,RES 02080000,
72,Nps_333,Triangle,NACE,877,"Maryland Ave., Between 7th & D Sts., NE",1,,NPS,207,,70.6508817642056,195.76221603975,0000,,0000,RES 02070000,
73,Nps_336,Triangle,NACE,877,"Maryland Ave. & D st., East Of 9th St., NE",1,,NPS,206,,96.2850493474452,369.399193693972,0000,,0000,RES 02060000,
74,Nps_381,Lincoln Park,NACE,810,"East Capitol St., Between 11th &13th Sts., NE & SE",1,,NPS,014,Lincoln Park,719.360572061917,28136.8708877234,0988,,0000,RES 00140000,
75,Nps_342,Stanton Park,NACE,820,"C St., Between 4th & 6th Sts., NE",1,,NPS,015,Stanton Park,493.05437738435,15806.310395061,0813,S,0000,RES 00150000,
76,Nps_338,Triangle,NACC,875,"Massachusetts Ave., Between 3rd & D Sts., NE",1,,NPS,083,,91.6021993348722,382.516867035459,0000,,0000,RES 00830000,
77,Nps_335,Triangle,NACC,875,"Massachusetts Ave., Between 2nd & D Sts., NE",1,,NPS,082,,104.967407307656,410.707750010702,0000,,0000,RES 00820000,
78,Nps_398,Triangle,NACE,840,"North Carolina & Pennsylvania Ave. To 5th & C Sts, SE",1,,NPS,042,,160.014805762014,1225.97474654821,0843,S,0000,RES 00430000,
79,Nps_400,Triangle,NACE,840,"North Carolina Ave., Between 5th & C Sts., SE",1,,NPS,039,,160.365949767077,1232.13372614282,0819,S,0000,RES 00380000,
80,Nps_406,Folger Park,NACE,822,"D St., Between 2nd & 3rd Sts., SE",1,,NPS,016,Folger Park,363.626968093111,7867.4736148134,0763,S,0000,RES 00160000,
81,Nps_394,Center Parking,NACE,840,"Pennsylvania Ave., Between 3rd & 4th Sts.SE",8,,NPS,037B,,269.486062771519,1577.16974124377,0790,,0000,RES 037B0000,
82,Nps_397,Center Parking,NACE,840,"Pennsylvania Ave., Between North Carolina Ave. & 4th St, SE",8,,NPS,038A,,182.060742313275,1016.24095922728,0819,S,0000,RES 038A0000,
83,Nps_401,Center Parking,NACE,840,"Pennsylvania Ave., Between North Carolina Ave. & 6th St., SE",8,,NPS,041A,,182.367104857844,1002.44658315613,0843,S,0000,RES 041A0000,
84,Nps_403,Center Parking,NACE,840,"Pennsylvania Ave, Between 6th & 7th sts., SE",8,,NPS,041B,,435.809145205149,2579.79511335382,0874,,0000,RES 041B0000,
85,Nps_408,Center Parking,NACE,840,"Pennsylvania  Ave., Between 7th & 8th sts., SE",1,,NPS,044A,,218.861974955998,1271.83725957825,0901,S,0000,RES 044A0000,
86,Nps_411,Center Parking,NACE,840,"Pennsylvania Ave., Between 8th & 9th Sts.SE",8,,NPS,047A,,222.744604586365,1254.66909154879,0924,S,0000,RES 047A0000,
87,Nps_413,Center Parking,NACE,840,"Pennsylvania Ave., Between 9th & 10th Sts.SE",8,,NPS,047B,,211.67636782307,1159.05763362215,0948,,0000,RES 047B0000,
88,Nps_415,Center Parking,NACE,840,"Pennsylvania Ave., Between 10th & 11th Sts., SE",8,,NPS,050A,,199.250697828264,1053.87101590606,0973,,0000,RES 050A0000,
89,Nps_417,Triangle,NACE,840,"Pennsylvania Ave., Between 10th & E Sts., SE",1,,NPS,050,,97.2537027532755,352.297205709715,0973,,0000,RES 00500000,
90,Nps_419,Triangle,NACE,840,"Pennsylvania Ave., Between 12th & E Sts., SE",1,,NPS,051,,132.7730467481,651.482590413669,0994,,0000,RES 00510000,
91,Nps_418,Center Parking,NACE,840,"Pennsylvania Ave., Between 11th & 12th Sts., SE",1,,NPS,051A,,232.317250444926,1306.37948957405,0994,,0000,RES 051A0000,
